Latitude,Longitude,Elevation
43.24333000,-79.9762300,147.0
43.24333000,-79.9762700,146.0
43.24332000,-79.9763100,146.0
43.24332000,-79.9763600,146.0
43.24332000,-79.9764100,145.0
43.24332000,-79.9764600,145.0
43.24333000,-79.9765000,145.0
43.24335000,-79.9765400,144.0
43.24338000,-79.9765600,144.0
43.24341000,-79.9765700,144.0
43.24345000,-79.9765700,144.0
43.24348000,-79.9765800,144.0
43.24350000,-79.9766100,144.0
43.24352000,-79.9766400,144.0
43.24354000,-79.9766600,144.0
43.24357000,-79.9766800,143.0
43.24359000,-79.9767100,143.0
43.24361000,-79.9767500,143.0
43.24363000,-79.9767700,144.0
43.24366000,-79.9768000,144.0
43.24367000,-79.9768300,144.0
43.24368000,-79.9768800,144.0
43.24368000,-79.9769200,144.0
43.24367000,-79.9769800,143.0
43.24366000,-79.9770200,143.0
43.24365000,-79.9770600,143.0
43.24365000,-79.9771000,143.0
43.24365000,-79.9771500,143.0
43.24367000,-79.9771900,143.0
43.24369000,-79.9772300,143.0
43.24372000,-79.9772500,143.0
43.24374000,-79.9772800,143.0
43.24377000,-79.9773100,143.0
43.24379000,-79.9773500,143.0
